 Rows: Electric field / N (Td)                                         
  0.9678E+24  0.1311E+25  0.2132E+25  0.6216E+25
  0.9065E+24  0.1303E+25  0.2127E+25  0.6268E+25
  0.8485E+24  0.1297E+25  0.2122E+25  0.6319E+25
  0.7943E+24  0.1290E+25  0.2117E+25  0.6365E+25
  0.7439E+24  0.1284E+25  0.2112E+25  0.6403E+25
  0.6974E+24  0.1278E+25  0.2108E+25  0.6437E+25
  0.6545E+24  0.1272E+25  0.2103E+25  0.6461E+25
  0.6150E+24  0.1267E+25  0.2099E+25  0.6489E+25
  0.5787E+24  0.1262E+25  0.2095E+25  0.6506E+25
  0.5452E+24  0.1257E+25  0.2090E+25  0.6527E+25
  0.5143E+24  0.1252E+25  0.2086E+25  0.6533E+25
  0.4858E+24  0.1247E+25  0.2082E+25  0.6545E+25
  0.4595E+24  0.1243E+25  0.2078E+25  0.6548E+25
  0.4352E+24  0.1239E+25  0.2074E+25  0.6553E+25
  0.4127E+24  0.1235E+25  0.2070E+25  0.6550E+25
  0.3919E+24  0.1231E+25  0.2066E+25  0.6552E+25
  0.3725E+24  0.1227E+25  0.2062E+25  0.6548E+25
  0.3545E+24  0.1223E+25  0.2058E+25  0.6543E+25
  0.3377E+24  0.1220E+25  0.2054E+25  0.6535E+25
  0.3221E+24  0.1216E+25  0.2050E+25  0.6528E+25
  0.3075E+24  0.1213E+25  0.2046E+25  0.6519E+25
  0.2938E+24  0.1210E+25  0.2043E+25  0.6506E+25
  0.2811E+24  0.1206E+25  0.2039E+25  0.6495E+25
  0.2691E+24  0.1203E+25  0.2035E+25  0.6484E+25
  0.2579E+24  0.1200E+25  0.2032E+25  0.6471E+25
  0.2473E+24  0.1197E+25  0.2028E+25  0.6457E+25
  0.2374E+24  0.1195E+25  0.2025E+25  0.6441E+25
  0.2280E+24  0.1192E+25  0.2021E+25  0.6426E+25
  0.2192E+24  0.1189E+25  0.2017E+25  0.6413E+25
  0.2109E+24  0.1186E+25  0.2014E+25  0.6397E+25
